Student_ID,Full_Name,Date_Of_Birth,Gender,Email,Phone,Department_ID,Major,Enrollment_Date,Status,Dropout_Date,total_invoices_count,total_tuition_billed,total_tuition_paid,total_remaining_debt,scholarship_total,late_fee_total,total_payments_count,successful_payments_count,failed_payments_count,avg_payment_amount,payment_completion_rate,payment_failure_rate,has_overdue_debt,target_is_dropped_out,target_high_debt_risk
STU000001,Cô Bảo Dương,2004-06-01,Male,johntran@example.com,0299864207,DEP001,Công nghệ thông tin,2020-07-29,Active,,2,26672000,24908000,9008000,1817000,1313000,2,2,0,12454000.0,0.9338632,0.0,1,0,0
STU000002,Lâm Thị Vũ,2005-07-15,Male,odang@example.org,037293271,DEP001,Công nghệ thông tin,2019-10-29,Active,,3,60454000,54800000,28864000,10680000,1428000,4,4,0,13700000.0,0.90647435,0.0,1,0,0
STU000003,Duyên Đặng,2007-05-26,Female,imai@example.net,0598839134,DEP011,Truyền thông,2022-04-17,Suspended,,3,33300000,25232000,10424000,2448000,431000,4,4,0,6308000.0,0.7577177,0.0,1,0,0
STU000004,Khoa Đặng,2006-08-06,Female,johnmai@example.net,089550880,DEP006,Ngoại ngữ,2023-03-15,Graduated,,1,26401000,8374000,18027000,2933000,0,1,1,0,8374000.0,0.31718495,0.0,1,0,0
STU000005,Duyên Đặng,1998-09-02,Other,tvu@example.net,0772463451,DEP009,Công nghệ sinh học,2024-09-21,Active,,1,26169000,0,26169000,2892000,143000,0,0,0,0.0,0.0,0.0,1,0,0
STU000006,Tú Phú Trần,2006-11-15,Male,jane26@example.com,0065935807,DEP009,Công nghệ sinh học,2020-10-19,Active,,1,9470000,0,9470000,2932000,676000,0,0,0,0.0,0.0,0.0,1,0,0
STU000007,Bà Chi Hoàng,2005-05-11,Male,jane58@example.org,084108114,DEP011,Truyền thông,2023-11-10,Active,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000008,Minh Đức Đặng,1998-08-19,Other,dvu@example.org,026099100,DEP003,Quản trị kinh doanh,2022-11-08,Suspended,,2,40790000,30839000,20292000,0,301000,2,2,0,15419500.0,0.75604314,0.0,1,0,0
STU000009,Bảo Tấn Nguyễn,1999-06-19,Male,avu@example.com,072368829,DEP005,Luật,2019-12-07,Active,,2,34405000,27380000,7400000,5287000,540000,2,2,0,13690000.0,0.7958146,0.0,1,0,0
STU000010,Chị Nhật Lê,2001-04-21,Male,rduong@example.org,0451985872,DEP008,Kỹ thuật xây dựng,2025-06-15,Graduated,,2,38060000,76010000,10317000,13399000,0,4,4,0,19002500.0,1.9971098,0.0,1,0,0
